"Имя","Описание","Категории","Изображения","Базовая цена","Артикул","Цвет","Объем","Количество","Тип Товара"
"Easy French Tip Smile Line Edge Cutter Трафарет Триммер 11 Размеры Nail Art Маникюр Стайлинг Инструмент","
  Specification: Quantity: 1PcColor: Silver
Material: Stainless steel 
Size: 11 different sizes, as the picture shows

Package Contents:
1Pc Easy French Tip Smile Line Edge Cutter

 Feature:
100% brand new and high quality 
Easy French tool to cut a perfect smile line
No paper forms needed
Perfect for both professional use and personal use!  
","nail tools > nail forms","https://www.bornprettystore.com/images/ProPho/40183/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40183/1.jpg, https://www.bornprettystore.com/images/ProPho/40183/2.jpg, https://www.bornprettystore.com/images/ProPho/40183/3.jpg, https://www.bornprettystore.com/images/ProPho/40183/4.jpg","178.8","40183","Серебряный","","1Pc",""
"Nail Art Soak Bowl Wash Remover Пластиковый Ручной Салон Nail Spa Ванна Инструменты Для Обработки Случайных Цветов","
 Specifications:
Material:Plastic
Color: Random Color
Size:Approx.15cm x 12cm x 4.5cm
Quantity:1Pc

Package Contents:
1Pc Nail Art Soak Bowl(Random Color)

Features:
100% Brand New and high quality.
Suitable for nail treatment, removing false nails, cuticle nail nutrition and sterilization treatments.
Can be filled with water for water bath for nails or acetone or other desired soaking liquid.
Each tray molded with 5 finger wells. Add your favorite soaking solution to finger wells and insert fingers. No need to soak the entire hand.
Easy to use,suitable for professional salon use or home use.
  
","nail tools > accessories","https://www.bornprettystore.com/images/ProPho/45566/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45566/1.jpg, https://www.bornprettystore.com/images/ProPho/45566/2.jpg, https://www.bornprettystore.com/images/ProPho/45566/3.jpg, https://www.bornprettystore.com/images/ProPho/45566/4.jpg","358.8","45566","Случайный цвет","","1Pc",""
"6мл Блум Лак для ногтей Синий Фиолетовый Серый Акварель Чернила для ногтей Дизайн ногтей Лак для ногтей","
 Specification: 
Brand:BORN PRETTY           
Type:Blossom Nail Polish
Color:5 Colors for Choose
Quantity:1 Bottle
Volume:Approx. 6ml
Effect:Blossom

Package Contents:
1 Bottle 6ml BORN PRETTY Blossom Nail Polish

Why Choose Our Blossom Polish?
Made of high quality material,the nail polish is of high purity and glossy,making your nail with vivid colors.
Easy to apply, quick-drying. 
Comes with brush making nail art fast and easy for everyone.
Allow you to create beautiful nail designs in short time.
Good colors for all occasions.

How To Use Our Blossom Polish?
Step 1:Apply the withe color gel,cure it for 60 seconds.
Step 2:Remove the surface float with alcohol or cleaning solution.
Step 3:Take appropriate amount of blossom nail polish and dotting the nail.
Step 4:Smudge it with transparent blossom nail polish.
Step 5:After it dried(about one minute),apply a layer of top coat and cure it.

Warm Reminder:
1. Avoid all skin contact. If redness or other signs of adverse reaction occur, discontinue use immediately.
2. Keep tightly sealed. Keep out of sunlight. Keep out of reach of children.

NOTICE: Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible)
 
","nail polish > regular polish","https://www.bornprettystore.com/images/ProPho/46213/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46213/1.jpg, https://www.bornprettystore.com/images/ProPho/46213/2.jpg, https://www.bornprettystore.com/images/ProPho/46213/3.jpg, https://www.bornprettystore.com/images/ProPho/46213/4.jpg","430.8","46213","5 цветов на выбор","Прибл. 6ml","1 бутылка","Блоссом Лак для ногтей"
"6мл Хамелеон Лак для ногтей Shimmer Nails Эффект Хамелеон Лак для ногтей Маникюр","
 Specification:
Brand: BORN PRETTY
Quantity: 1 Bottle
Capacity: Approx. 6ml
Color: As the picture shows

Package Contents:
1 Bottle 6ml BORN PRETTY Chameleon Nail Polish

Feature:
100% brand new chameleon effect nail polish.
Darker base can help to get better effect.
The chameleon nails color in the sample picture is with : 1 layer base coat+1 layer black nail polish+ 2-3 layers colored polish+ top coat.
Professional quality chameleon nail polish ingredients which give glossy and long-lasting nail color.
Comes with brush making nail art fast and easy for everyone.
Allow you to create beautiful chameleon changing color nail designs in short time.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)
 
","nail polish > chameleon polish","https://www.bornprettystore.com/images/ProPho/42895/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42895/1.jpg, https://www.bornprettystore.com/images/ProPho/42895/2.jpg, https://www.bornprettystore.com/images/ProPho/42895/3.jpg, https://www.bornprettystore.com/images/ProPho/42895/4.jpg","634.8","42895","Как на изображении товара","Прибл. 6ml","1 бутылка",""
"1.5-1.8г / коробка Holographics Powder Ультратонкий блестящий фиолетовый Nail Art Glitter Powder","
  Specification: Quantity: 1 Box 
Capacity: Approx. 1.5g-1.8g
Color: As the pictures show 
Package Contents:
1 Box Nail Glitter Powder

Instructions:
 1.Apply base color (optional).
2.Apply a layer of special top gel, or other gel top coat (non-wipe recommended but not required). 
3.Use a sponge tipped eyeshadow applicator, or a silicone brush to buff a thin layer of pigment onto nail surface. 
4.Seal with gel top coat.

Recommended to be used over gel topcoat and sealed with gel top coat.
Best used with No Wipe Gel Top Coat . 
","nail glitters","https://www.bornprettystore.com/images/ProPho/38755/dsc.jpg, https://www.bornprettystore.com/images/ProPho/38755/1.jpg, https://www.bornprettystore.com/images/ProPho/38755/2.jpg, https://www.bornprettystore.com/images/ProPho/38755/3.jpg, https://www.bornprettystore.com/images/ProPho/38755/4.jpg","238.8","38755","Как на изображении товара","Прибл. 1.5g-1.8g","1 коробка",""
"1 Лист Шаблоны Смешивания Рождественские Наклейки Для Ногтей Nail Art Перенос Наклейки Украшения Для Ногтей DIY","
 Specification: 

Quantity: 1 Sheet

Sheet Size: As the pictures show

Dimensions: 4.5x12cm
 

Packaging:

1 Sheet 3D Nail Sticker
 

How to use: 

1. Applying a base coat and wait it dry completely.

2. Select a base color that your like and apply it onto your nails。

3. Select a design and peel off by your nail. (Don't touch the glue) 

4. Use tweezers to gently remove the prepared sticker place it onto your nail and press it.

5. Apply top coat for a perfect effect.  
","stickers decals > 3d nail sticker","https://www.bornprettystore.com/images/ProPho/47852/dsc.jpg, https://www.bornprettystore.com/images/ProPho/47852/1.jpg, https://www.bornprettystore.com/images/ProPho/47852/2.jpg, https://www.bornprettystore.com/images/ProPho/47852/3.jpg, https://www.bornprettystore.com/images/ProPho/47852/4.jpg","190.8","47852","Как на изображении товара","","1 лист",""
"1 Коробка 10 мл Блестка Блестки Ногтей Розовый Фиолетовый 1 мм 2 мм 3 мм Смешанные Блеск Пудра Украшения Для Ногтей","
  Specification: 
Capacity: 10mlSize of glitter powder: 1mm &amp; 2mm &amp; 3mm mixed
Size of the box: Approx. 2.5cm*2.9cm 
Quantity: 1 Box 
Color: As the picture shows 
Package Contents:
1 Box Glitter Powder 

 Feature:
100% brand new and high quality
Nail decoration 
Easy to apply on natural or artificial nails 
Clean the surface of your nails, brush the base polish, and place it onto nails 
Seal with a clear topcoat 
You can also use them to decorate your home, cell phone's case, glasses, made card, body art, etc.  
","nail glitter > nail sequins","https://www.bornprettystore.com/images/ProPho/30663/dsc.jpg","190.8","30663","Как на изображении товара","10мл","1 коробка",""
"1 коробка красочный нерегулярные блестки блестка пайетка ногтя Flakies порошок","
  Specification: 
Quantity: 1 Box Capacity: Approx. 0.2g 
Color: As the picture shows 
 Package Contents:
1 box Nail Sequins 
 Feature:
100% brand new and high quality
Nail decoration
Easy to apply on natural or artificial nails
Suitable for professional salon use or home use.

How to use with UV Gel Polish:
1.Prepare your nails with UV BASE COAT, UV COLOR GEL, No-wipe UV TOP COAT.
2.Use eyeshadow stick to pick the powder and apply it onto your nails
3.Repeat the step untill you're satisfied with the effect.
4.Seal it with UV TOP COAT.
 
","nail glitter > nail sequins","https://www.bornprettystore.com/images/ProPho/39987/dsc.jpg, https://www.bornprettystore.com/images/ProPho/39987/1.jpg, https://www.bornprettystore.com/images/ProPho/39987/2.jpg, https://www.bornprettystore.com/images/ProPho/39987/3.jpg, https://www.bornprettystore.com/images/ProPho/39987/4.jpg","358.8","39987","Как на изображении товара","Прибл. 0.2g","1 коробка",""
"Длинные Волосы Nail Art Liner Brush Деревянные Деревянные Ручки Super Finer Рисование Перо Pen Nail Art Инструменты","
  Specification:
100% brand newQuantity: 1Pc
 Weight: 15gColor: as the picture shows


Package Contents:
1Pc

 Feature:
100% brand new 
Ideal for fine nail art work
Creating beautiful nail for long lasting sparkle nail tips! Perfect for both professional use and personal use!Click here to see the Product Review
 
","nail tools > nail brush > liner brush","https://www.bornprettystore.com/images/ProPho/18512/dsc.jpg, https://www.bornprettystore.com/images/ProPho/18512/1.jpg, https://www.bornprettystore.com/images/ProPho/18512/2.jpg","154.8","18512","как показано на рисунке","","1Pc",""
"1 г Cat Eye Магнитная пудра для ногтей Великолепный магнит с блестками Маникюр Nail Art Pigment","
  Specification :
Quantity: 1 Box
Capacity: Approx. 1g-1.2g 
Material: Powder
Color: As the picture shows
 
Package Contents:
1 box Nail powder
 Feature:
100% brand new and high quality
Nail decoration 
Easy to apply on natural or artificial nails 
You can also use them to decorate your home, cell phone's case, glasses, made card, body art, etc.   NOTE: 
1.Before applying the powder, the UV gel base coat must be totally dry.  2.When you apply the powder, using sponge brush dab on the nail, or you won't get cat eye effect.  
Note:
Item color displayed in photos may be showing slightly different on your computer monitor since monitors are not calibrated same. Thanks for your understanding!
 
","nail glitters","https://www.bornprettystore.com/images/ProPho/40625/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40625/1.jpg, https://www.bornprettystore.com/images/ProPho/40625/2.jpg, https://www.bornprettystore.com/images/ProPho/40625/3.jpg, https://www.bornprettystore.com/images/ProPho/40625/4.jpg","202.8","40625","Как на изображении товара","Прибл. 1g-1.2g","1 коробка",""
"White Buffer Шлифовальные пилки для ногтей Шлифовальные файлы Полировка Многофункциональный маникюр Инструменты для ногтей","
 Specification:
Quantity: 1 Pc
Color: White

Package Contents:
1 Pc Nail Sanding Block Files

Feature:
100% brand new and high quality.
It is very convenient and easy to use.
Top quality sanding blocks for filing nail extensions/acrylic nails/false nail tips/natural nails!
A handy little nail art tool to buff and shape up uneven nail surface before UV gel and acrylic application.
Can be used before applying nail polish or nail treatments.
Perfect for general manicure/pedicure purpose.
Easy and ready for use.
Suitable for professional use or home use. 
","nail tools > nail file buffer","https://www.bornprettystore.com/images/ProPho/98/dsc.jpg, https://www.bornprettystore.com/images/ProPho/98/1.jpg, https://www.bornprettystore.com/images/ProPho/98/2.jpg, https://www.bornprettystore.com/images/ProPho/98/3.jpg, https://www.bornprettystore.com/images/ProPho/98/4.jpg","238.8","98","белый","","1 шт",""
"1 коробка 10мл блеск пудра розовая роза красный ультратонкий 1 мм пайетка смешанные блестки ногтей декор для ногтей","
  Specification: Quantity: 1 Box 
Capacity: Approx. 10mlSize of glitter powder: Ultra thin &amp; 1mm mixed
Size of the box: Approx. 2.5*2.9cm 
Color: As the picture shows 
Package Contents:
1 Box Glitter Powder 

 Feature:
100% brand new and high quality
Nail decoration 
Easy to apply on natural or artificial nails 
Clean the surface of your nails, brush the base polish, and place it onto nails 
Seal with a clear topcoat 
You can also use them to decorate your home, cell phone's case, glasses, made card, body art, etc.  
","nail glitter > nail sequins","https://www.bornprettystore.com/images/ProPho/32930/32930.dsc.jpg, https://www.bornprettystore.com/images/ProPho/32930/1.jpg, https://www.bornprettystore.com/images/ProPho/32930/2.jpg, https://www.bornprettystore.com/images/ProPho/32930/3.jpg, https://www.bornprettystore.com/images/ProPho/32930/4.jpg","238.8","32930","Как на изображении товара","Прибл. 10мл","1 коробка",""
"Склад США 20 Шт. Ногтей Формы для Акрилового УФ-Геля Советы Расширение Nail Art Design","
 20pcs Professional Nail Forms for Acrylic / UV Gel Nail Extensions
20pcs self-adhesive nail form stickers
Suitable for acrylic nails extension / UV gel nail extension
Color: Gold
For professional studio use or home use
Length and Number marked on each nail form that provide an accurate guide for your nail design
There are length and numbers marked on each nail form which can provide an accurate guide for making your pretty nails
Suitable for acrylic nails extension / UV gel nail extension
Easy to use
Suitable for professional studio use or home use 
","us warehouse > nail art tools","https://www.bornprettystore.com/images/ProPho/42474/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42474/1.jpg, https://www.bornprettystore.com/images/ProPho/42474/2.jpg, https://www.bornprettystore.com/images/ProPho/42474/3.jpg, https://www.bornprettystore.com/images/ProPho/42474/4.jpg","958.8","42474","Золото","","",""
"US Warehouse 7.5 мл UR SUGAR Soak Off UV гель-лак Red Series Nail Art Маникюрные дизайны","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: As the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality.
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.
 
","us warehouse > nail polishes","https://www.bornprettystore.com/images/ProPho/43219/dsc.jpg, https://www.bornprettystore.com/images/ProPho/43219/1.jpg, https://www.bornprettystore.com/images/ProPho/43219/2.jpg, https://www.bornprettystore.com/images/ProPho/43219/3.jpg, https://www.bornprettystore.com/images/ProPho/43219/4.jpg","1078.8","43219","Как на изображении товара","7.5ml","1 бутылка",""
"1 Шт. Французский Dip Ногтей Контейнер Пудра Окунать Лоток Советы Ногтей Плесень Руководства Простые Операции Nail Art T","
 Specification:
Quantity: 1 Pc
Material: Plastic
Color: as the pictures show
Size: as the pictures show

Package Contents:
1 Pc French Dip Nail Container

Features:
100% brand new and high quality
Non-toxic, harmless, environmental friendly and durable plastic
Light weight, portable. Durable to use for a long time
Sponge non-slip base, let you easily do French nail and glitter powder nail art
Easy to create French line on your nail, only a few minutes, you can finish both hands French nail art
 
","nail tools","https://www.bornprettystore.com/images/ProPho/41462/dsc.jpg, https://www.bornprettystore.com/images/ProPho/41462/1.jpg, https://www.bornprettystore.com/images/ProPho/41462/2.jpg, https://www.bornprettystore.com/images/ProPho/41462/3.jpg, https://www.bornprettystore.com/images/ProPho/41462/4.jpg","478.8","41462","как показывают фотографии","","1 шт",""
"1 флакон 7.5 мл UR SUGAR Soak Off UV гель-лак Purple Series Pure-Color Nail Art Гель-лак 649-664","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: 16 colors avalaible, as the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible)
 
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/40916/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40916/1.jpg, https://www.bornprettystore.com/images/ProPho/40916/2.jpg, https://www.bornprettystore.com/images/ProPho/40916/3.jpg, https://www.bornprettystore.com/images/ProPho/40916/4.jpg","358.8","40916","16 цветов доступны, как показывают фотографии","7.5ml","1 бутылка",""
"Золотая заклепка гвоздь гвоздики звезда морская звезда сердце оболочки лист круг смешанный DIY телефон 3D украшения ногтей","
  Specification:Quantity: Approx. 300pcs/Box  
Material: Rivet 
Color: GoldBox Diameter: Approx. 6cm 
 

Package Contents:
1 box 3D Nail Decoration

 Feature:
100% brand new and high quality
Nail decoration 
Clean the surface of your nails, brush the base polish, and place it onto nails 
You can also use them to decorate your home, cell phone's case, glasses, made card, body art, etc.  
","rhinestones decorations > nail studs","https://www.bornprettystore.com/images/ProPho/40346/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40346/1.jpg, https://www.bornprettystore.com/images/ProPho/40346/2.jpg, https://www.bornprettystore.com/images/ProPho/40346/3.jpg, https://www.bornprettystore.com/images/ProPho/40346/4.jpg","154.8","40346","Золото","","Прибл. 300pcs / коробка",""
"1 Коробка Блестки Для Ногтей Многоразмерные Шестигранные Радужные Флаки Блеск Украшения Искусства Ногтя","
 Specification:
Quantity: 1 Box
Capacity: approx. 1.5g
Diameter of sequins: approx. 1mm
Color: As the picture shows

Package Contents:
1 Box Nail Sequins Powder

Feature:
100% brand new and high quality
Nail decoration
Easy to apply on natural or artificial nails
You can also use them to decorate your home, cell phone's case, glasses, made card, body art, etc.

How to use:
1.Prepare your nails with UV BASE COAT and cure it under UV/LED lamp.
2.Apply UV COLOR GEL.(DO NOT cure!)
3.Use eyeshadow stick to apply the sequins onto your nails.
4.Cure it under UV/LED lamp.
 
","nail glitter > nail sequins","https://www.bornprettystore.com/images/ProPho/41113/41113.dsc.jpg, https://www.bornprettystore.com/images/ProPho/41113/1.jpg, https://www.bornprettystore.com/images/ProPho/41113/2.jpg, https://www.bornprettystore.com/images/ProPho/41113/3.jpg, https://www.bornprettystore.com/images/ProPho/41113/4.jpg","238.8","41113","Как на изображении товара","ок. 1.5г","1 коробка",""
"5 шт. / Компл. Двусторонний точечный карандаш высшего сорта 2-х полосный розовый точечный перо маникюрный инструмент для маникюра","
 Specification:
100% new retail
Material: Aluminium alloyQuantity: 5PcsLength: Approx. 14cm  

Package Contents:
5Pcs

 Instructions:
Straight and angular dotting balls for all sort of working conditions
Ideal for the professional use
You can use this useful tool for creating a marbling design, blending colours, creating swirls and textured finishes. 
It can also be used for creating dots - of an even or decreasing size - and to pill dots into petal shapes when doing finely detailed 
","nail tools > dotting tool","https://www.bornprettystore.com/images/ProPho/35419/dsc.jpg, https://www.bornprettystore.com/images/ProPho/35419/1.jpg, https://www.bornprettystore.com/images/ProPho/35419/2.jpg, https://www.bornprettystore.com/images/ProPho/35419/3.jpg, https://www.bornprettystore.com/images/ProPho/35419/4.jpg","670.8","35419","Как на изображении товара","","5шт",""
"1 Шт. Рождество Хэллоуин Ногтей Вода Наклейки Ногтей Передача Наклейки Украшения Ногтей DIY","
 Specification: 
Quantity: 1 Pc
Pattern: As the pictures show
 
Package Contents: 
1 Pc Nail Water Decals
 
Feature: 
100% brand new and high quality.
Suitable to use on top of nail polish, UV gel, acrylic, etc. 
Easy to apply on natural or artificial nails. 
Suit for home use or professional. 

Nails Application: 
1. Shape the nail with a nail file, buff and smooth the nail with a nail buffer. 
2. Apply the base color polish, wait it dry. 
3. Remove the film of product, cut out the pattern you like and soak it into water for 10-20 seconds. 
4. Moisten the water decals slide the pattern and place it in suitable position. 
5. Cut off the redundant part of pattern. 
6. Seal with top coat for better result.  
","stickers decals > water decals","https://www.bornprettystore.com/images/ProPho/47597/dsc.jpg, https://www.bornprettystore.com/images/ProPho/47597/1.jpg, https://www.bornprettystore.com/images/ProPho/47597/2.jpg, https://www.bornprettystore.com/images/ProPho/47597/3.jpg, https://www.bornprettystore.com/images/ProPho/47597/4.jpg","154.8","47597","Как на изображении товара","","1 шт",""
"9W 12W LED УФ-лампа для сушки ногтей USB-телефон Форма Черный Красный УФ-гель Маникюр Nail Art Fast Dryer","
 Specification:
Quantity: 1 Pc
Voltage: 100-240V 50/60Hz 
Working life: Approx. 50000 hours 
Power supply: USB cable
Color: Black/Red(optional) 
Size: As the pictures show
Power: 9W/12W (optional)
9W:
LED light quantity: 3pcs
Suit for LED gel

12W:
UV + LED light quantity: 6pcs
Suit for UV Gel, builder Gel



Package Content:
1 * Nail Dryer
1 * USB cable

Instrutions:
100% new retail and high qualityPractical nail dryer, dries your nail polish quickly in short time.
Fashion phone shape design, convenient to carry around and store.
With USB interface, can be charged by computer, power bank, and so on.
Suitable for professional or home use

Attention:
Keep away the machine from the children, it is a professional LED Gel machine.
Don't stare to the light when the machine is on.
Don't try to touch the LED.
Don't operation the machine with the wet hand. 
","nail art equipment > nail dryer","https://www.bornprettystore.com/images/ProPho/40366/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40366/1.jpg, https://www.bornprettystore.com/images/ProPho/40366/2.jpg, https://www.bornprettystore.com/images/ProPho/40366/3.jpg, https://www.bornprettystore.com/images/ProPho/40366/4.jpg","838.8","40366","Черный / красный (опционально)","","1 шт",""
"NICOLE DIARY Прямоугольные штамповочные пластины из нержавеющей стали Геометрический штамп шаблон ND-023","
 Specification:
100% new retail
Size:12cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents :
1 Pc NICOLE DIARY Designer Nail Stamping Plates

Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After stamping nail art, apply top coat for lasting wear. 
","stamping nails > stamping plates > geometry collection","https://www.bornprettystore.com/images/ProPho/45090/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45090/1.jpg, https://www.bornprettystore.com/images/ProPho/45090/2.jpg, https://www.bornprettystore.com/images/ProPho/45090/3.jpg, https://www.bornprettystore.com/images/ProPho/45090/4.jpg","238.8","45090","Как на изображении товара","","","Плиты штамповки ногтей"
"Склад США 30 мл UR Sugar Quick Building Кристалл УФ-гель для наращивания ногтей Советы по наращиванию пальцев Гель","
 Specification:
Quantity: 1 Pc
Capacity: approx. 30ml
Color: As the picture shows

Package Contents:
1 Pc 30ml Nail Quick Building Crystal Gel

Feature:
100% new retail and high quality.
Suitable to apply on UV gel nails, acrylic nails, and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

How to use:
1)
1. File the nail surface lightly.
2. Apply a very thin layer of base coat, and cure it under UV/LED lamp.
3. Select a suitable shape &amp; size false nail tip.
4. Apply Crystal Extend Gel on nail mold, use nail art pen with Slip Solution to make gel smooth.
5. Stick it to your real nail and make sure it fully plying-up, and cure it under UV/LED lamp.
6. Remove the false nail tip, trim the shape and polish your nails.
7. Apply top coat and cure it under UV/LED lamp.
8. Design your nail with your satisfied patterns.

2)
1. File the nail surface lightly.
2. Apply a very thin layer of base coat, and cure it under UV/LED lamp.
3. Put a nail form on your nail and apply a layer of Crystal Extend Gel, cure it under UV/LED lamp.
4. Apply a second layer of Extend Gel and cure it under UV/LED lamp.
5. Trim the shapes of nails.
6. Apply top coat and cure it under UV/LED lamp.
7. Design your nail with your satisfied patterns.

How to avoid extension nail from falling off：
1. After apply quickly building gel on false nail tip, use a brush to pick up a little Liquid Slip Solution, then brush the building gel evenly on the false nail tip.
2. When sticking false nail tip to your real nails, you'd better make sure the false nail tip can be totally attached to your nails so that extension nail won't fall off from nail edge.
 
","us warehouse > hot selling","https://www.bornprettystore.com/images/ProPho/43202/dsc.jpg, https://www.bornprettystore.com/images/ProPho/43202/1.jpg, https://www.bornprettystore.com/images/ProPho/43202/2.jpg, https://www.bornprettystore.com/images/ProPho/43202/3.jpg, https://www.bornprettystore.com/images/ProPho/43202/4.jpg","958.8","43202","Как на изображении товара","ок. 30мл","1 шт",""
"1 Коробка AB Цвета Nail Art Rhinestone 1 ШТ. Горный Хрусталь Пикер Воск Ручка Подарок 4 ШТ. 3D Наклейка Для Ногтей","
 Specification:
Size: as the picture shows
Color: as the picture shows

Package Contents:
1Box 3D Nail Decoration
1 PCS Rhinestone Picker Wax Pen
Gift 4 PCS 3D Nail Sticker

Feature:
100% brand new and high quality
Nail decoration
Clean the surface of your nails, brush the base polish, and place it onto nails
You can also use them to decorate your home, cell phone's case, glasses, made card, body art, etc. 
","rhinestones decorations > 3d nail decoration","https://www.bornprettystore.com/images/ProPho/46384/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46384/1.jpg, https://www.bornprettystore.com/images/ProPho/46384/2.jpg","598.8","46384","как показано на рисунке","","",""
"1 флакон 7.5 мл UR SUGAR Soak Off UV гель-лак Blue Series Pure-Color Nail Art Гель-лак 665-680","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: 16 colors avalaible, as the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

Professional usage:
Step 1: Clean nail surface as normal process.
Step 2: Fully shake up the polish, it can make the polish color be balanced. (Important)
Step 3: Apply thin layer of Base Coat and cure under nail lamp (UV 36 Watts/LED 9 Watts or higher,UV lamp for 2-3 minutes or LED lamp for 60 seconds).
Step 4: Apply thin layer of 1st color coat and cure under nail lamp again.
Step 5: Apply thin layer of 2nd color coat and cure under nail lamp again.
Step 6: Apply No Wipe Top Coat and cure under nail lamp again. Or regular Top Coat but remove the tacky surface with cotton soaked with cleanser or 95°alcohol after curing.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible) 
 
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/40917/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40917/1.jpg, https://www.bornprettystore.com/images/ProPho/40917/2.jpg, https://www.bornprettystore.com/images/ProPho/40917/3.jpg, https://www.bornprettystore.com/images/ProPho/40917/4.jpg","478.8","40917","16 цветов доступны, как показывают фотографии","7.5ml","1 бутылка",""
"1 Лист Тиснением 3D Наклейки Для Ногтей Цветущие Цветы 3D Наклейки для Ногтей Наклейки # BP049","
  Specification:
Quantity: 1 sheet 
Color: Gold
Pattern: as the picture shows

Package Contents:
1 x 3D nail sticker #BP049 

Instruction:
Brand New in retail package and good quality! 
One sheet of adhesive nail art stickers to fit all fingernails, toenails and nail tips.
 
Suitable for Professional Salon use or home use 
How to Use:
1. Clean the surface where the design is to be placed. 
2. Select a design and peel off by your nail. (Don't touch the glue) 
3. Place the design in nail/tip and rub it gently several times. 
4. Apply top coat for best result. 
NOTE: 
Do not apply stickers to sensitive skin. 
Not recommended for little children.  
","stickers decals > 3d nail sticker","https://www.bornprettystore.com/images/ProPho/24910/24910.dsc.jpg, https://www.bornprettystore.com/images/ProPho/24910/1.jpg, https://www.bornprettystore.com/images/ProPho/24910/2.jpg, https://www.bornprettystore.com/images/ProPho/24910/3.jpg, https://www.bornprettystore.com/images/ProPho/24910/4.jpg, https://www.bornprettystore.com/images/ProPho/24910/101.jpg, https://www.bornprettystore.com/images/ProPho/24910/102.jpg","238.8","24910","Золото","","1 лист",""
